training_time, simulation_time, prob, low, high, runs
4329, 49, 0.6535338746173299, 0.6435341369310089, 0.6635336123036509, 15026
4211, 49, 0.6501921293229098, 0.6401926052952014, 0.6601916533506182, 15094
4225, 50, 0.6488095238095238, 0.6388095252792476, 0.6588095223398001, 15120
4173, 48, 0.6524455077086656, 0.6424457369700637, 0.6624452784472675, 15048
4198, 48, 0.6511874751227279, 0.6411879204781569, 0.6611870297672989, 15074
4194, 48, 0.6548, 0.6448002312217367, 0.6647997687782634, 15000
4169, 49, 0.6496292372881356, 0.6396293160182368, 0.6596291585580344, 15104
4176, 49, 0.652575606513792, 0.6425757139402205, 0.6625754990873635, 15045
4170, 48, 0.6473267326732673, 0.6373270185541912, 0.6573264467923435, 15150
4164, 47, 0.6603291904601948, 0.6503296325379024, 0.6703287483824871, 14885
4185, 47, 0.6567513368983957, 0.6467516829275332, 0.6667509908692583, 14960
4177, 48, 0.6530327214684757, 0.64303291876353, 0.6630325241734214, 15036
4173, 48, 0.6534903839755107, 0.6434906841865312, 0.6634900837644903, 15027
4172, 49, 0.6481860833939074, 0.6381863205287025, 0.6581858462591123, 15133
4171, 48, 0.6454629263795602, 0.6354631418975631, 0.6554627108615572, 15186
4184, 49, 0.6485092880280293, 0.6385096453324581, 0.6585089307236005, 15127
4197, 48, 0.6542099653610445, 0.6442101634956783, 0.6642097672264107, 15012
4178, 48, 0.649176205915437, 0.6391762903112689, 0.6591761215196051, 15113
4179, 47, 0.6544945692010395, 0.6444950439795922, 0.6644940944224869, 15007
4181, 48, 0.6503213836061229, 0.640321719687174, 0.6603210475250718, 15091
4217, 47, 0.6607731092436975, 0.6507733697153725, 0.6707728487720225, 14875
4184, 47, 0.6513603185136032, 0.6413605881587927, 0.6613600488684137, 15070
4180, 47, 0.6548436562437496, 0.644843853149934, 0.6648434593375653, 14999
4203, 49, 0.6479059320914256, 0.6379060025402327, 0.6579058616426184, 15138
4176, 47, 0.650364479787939, 0.6403647694654344, 0.6603641901104436, 15090
# timestamp 22.09.2025 20:05:27 (1758564327), datastructure reach_tree_reduced
# timebound 10, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000
