training_time, simulation_time, prob, low, high, runs
8, 23, 0.5302801137394881, 0.5202802354819842, 0.5402799919969921, 16529
8, 23, 0.5257464039647045, 0.5157465692791129, 0.5357462386502961, 16546
8, 23, 0.5296394870554076, 0.5196397457203195, 0.5396392283904958, 16532
8, 23, 0.5390260173448966, 0.5290262068248864, 0.5490258278649068, 16489
8, 23, 0.5352880596110741, 0.5252881177113199, 0.5452880015108282, 16507
8, 23, 0.5359306834706737, 0.5259307527868804, 0.5459306141544671, 16504
8, 23, 0.5322922341262636, 0.5222924632619236, 0.5422920049906036, 16521
8, 23, 0.5401929260450161, 0.5301931563021964, 0.5501926957878358, 16483
8, 23, 0.5404405072507736, 0.530440532667484, 0.5504404818340632, 16481
8, 23, 0.5327198982989285, 0.5227200805362123, 0.5427197160616447, 16519
8, 23, 0.5328732292045042, 0.5228733107704462, 0.5428731476385622, 16518
8, 23, 0.5318968647863455, 0.5218968868924971, 0.5418968426801938, 16522
8, 23, 0.5359306834706737, 0.5259307527868804, 0.5459306141544671, 16504
8, 23, 0.5418234794221197, 0.5318236716121005, 0.5518232872321389, 16474
8, 23, 0.5381677075122779, 0.5281677767093325, 0.5481676383152234, 16493
8, 23, 0.5375848690591658, 0.5275849595230232, 0.5475847785953084, 16496
8, 23, 0.5364198278996485, 0.5264200027858239, 0.5464196530134731, 16502
8, 23, 0.5329337692214554, 0.5229339308121169, 0.5429336076307939, 16518
8, 23, 0.5334221361104383, 0.5234223432504991, 0.5434219289703776, 16516
8, 23, 0.536051866214251, 0.5260521108972392, 0.5460516215312629, 16504
8, 23, 0.5315904139433552, 0.5215906505743378, 0.5415901773123725, 16524
8, 23, 0.5361449433436345, 0.5261450201649215, 0.5461448665223475, 16503
8, 23, 0.5354092203307688, 0.5254094506037509, 0.5454089900577866, 16507
8, 23, 0.5375522822331333, 0.5275526265384106, 0.5475519379278561, 16497
8, 23, 0.5285437832607643, 0.5185439721907165, 0.5385435943308122, 16536
# timestamp 02.10.2025 23:14:25 (1759439665), datastructure TREE
# timebound 8, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 1
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 5000
# reach tree compilation time in ms 1491
# reach tree node counts: full 80, reduced 24, goal 2
