training_time, simulation_time, prob, low, high, runs
70, 41, 0.6428196377001838, 0.6328196669137893, 0.6528196084865783, 15236
69, 41, 0.6482717599629899, 0.6382718931860644, 0.6582716267399155, 15131
70, 41, 0.6465972039039831, 0.6365974140683895, 0.6565969937395767, 15164
69, 40, 0.650278293135436, 0.6402786757335122, 0.6602779105373597, 15092
69, 41, 0.6461903506459267, 0.6361905921263432, 0.6561901091655101, 15172
69, 41, 0.6459541381128097, 0.6359541886896498, 0.6559540875359695, 15176
69, 41, 0.6437348051777384, 0.6337349665006409, 0.6537346438548359, 15219
69, 41, 0.6436079358822756, 0.6336082879974178, 0.6536075837671335, 15222
69, 40, 0.6519891080560537, 0.6419892641223415, 0.6619889519897659, 15057
70, 40, 0.6537949400798935, 0.6437949774877032, 0.6637949026720837, 15020
# timestamp 18.09.2025 12:23:41 (1758191021), datastructure reach_tree_reduced
# timebound 9, expirations {"r1": 3, "r2": 5}
# alpha 0.5, gamma 0.95
# discretization method UNIFORM_GRANULARITY, adaptive compartments 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 20000
