training_time, simulation_time, prob, low, high, runs
3711, 41, 0.6461903506459267, 0.6361905921263432, 0.6561901091655101, 15172
3761, 41, 0.6448641179180101, 0.63486415682325, 0.6548640790127702, 15197
3669, 42, 0.653838471269725, 0.6438384716068456, 0.6638384709326045, 15019
3688, 40, 0.6516861391396708, 0.6416865921452665, 0.6616856861340751, 15064
3731, 41, 0.6459115767279436, 0.6359116851822684, 0.6559114682736189, 15177
3736, 41, 0.6535338746173299, 0.6435341369310089, 0.6635336123036509, 15026
3698, 41, 0.6480147981766532, 0.6380152444619082, 0.6580143518913982, 15137
3702, 40, 0.6482717599629899, 0.6382718931860644, 0.6582716267399155, 15131
3674, 40, 0.6479487348880227, 0.6379487525947797, 0.6579487171812658, 15137
3720, 41, 0.6431385423506237, 0.6331385884468839, 0.6531384962543636, 15230
3697, 40, 0.6548436562437496, 0.644843853149934, 0.6648434593375653, 14999
3725, 39, 0.6562019905149956, 0.6462021999520495, 0.6662017810779417, 14971
3722, 41, 0.6478203434610303, 0.6378205197246736, 0.6578201671973871, 15140
3739, 40, 0.6544945692010395, 0.6444950439795922, 0.6644940944224869, 15007
3712, 40, 0.6471985745396951, 0.6371990237938878, 0.6571981252855024, 15153
3658, 41, 0.640468555722793, 0.6304688477599003, 0.6504682636856858, 15281
3718, 40, 0.6520757223513782, 0.6420757946187517, 0.6620756500840047, 15055
3712, 41, 0.6470044866719451, 0.6370046754994315, 0.6570042978444587, 15156
3690, 41, 0.6488756613756613, 0.6388760948862301, 0.6588752278650926, 15120
3745, 41, 0.6551287181539283, 0.6451292030704583, 0.6651282332373982, 14994
3678, 40, 0.6462755438365194, 0.6362756711003784, 0.6562754165726604, 15170
3727, 41, 0.652728843980589, 0.6427293185418658, 0.6627283694193121, 15043
3690, 40, 0.6520324123273114, 0.642032526436232, 0.6620322982183907, 15056
3711, 42, 0.6436502200906642, 0.6336505085035736, 0.6536499316777548, 15221
3676, 40, 0.6460626029654036, 0.6360630165806958, 0.6560621893501115, 15175
# timestamp 21.09.2025 20:13:07 (1758478387), datastructure sac
# timebound 9, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: HISTORY_DEPENDENT
# training runs 1000000
