training_time, simulation_time, prob, low, high, runs
3136, 18, 0.8658536585365854, 0.8558539654606886, 0.8758533516124821, 7708
3130, 19, 0.8594237245852563, 0.849423733743357, 0.8694237154271556, 8017
3183, 17, 0.8677609980302036, 0.8577612110259752, 0.8777607850344319, 7615
3155, 22, 0.8676200472316977, 0.8576203399664767, 0.8776197544969188, 7622
3190, 19, 0.8707820032137118, 0.8607829258527275, 0.8807810805746961, 7468
3270, 18, 0.8676200472316977, 0.8576203399664767, 0.8776197544969188, 7622
3218, 20, 0.8584893960064492, 0.8484903287706306, 0.8684884632422679, 8063
3148, 18, 0.8642435139994863, 0.8542438129299795, 0.874243215068993, 7786
3180, 20, 0.8650916602117221, 0.8550926370609654, 0.8750906833624789, 7746
3232, 21, 0.8583467592018837, 0.848347204873592, 0.8683463135301754, 8069
# timestamp 17.09.2025 22:24:01 (1758140641), datastructure sac
# timebound 14, expirations {"r1": 0, "r2": 0}
# alpha 0.25, gamma 0.99
# discretization method UNIFORM_GRANULARITY, adaptive compartments 1, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: NONPROPHETIC, history: MEMORYLESS
# training runs 1000000
