t,max
7,0
8,0.6042979581547769
9,0.6509915765735889
10,0.6518159484761968
11,0.7533657745336577
12,0.8621039290240811
14,0.8988726790450928
16,0.9545296771954183
18,0.9687034277198212
20,0.986
