training_time, simulation_time, prob, low, high, runs
83, 38, 0.7420878601794992, 0.7320884735615453, 0.7520872467974532, 12702
80, 36, 0.7576951489780842, 0.7476952170323142, 0.7676950809238542, 12183
78, 36, 0.7508458192363461, 0.7408458316449092, 0.7608458068277829, 12414
83, 38, 0.7482002879539273, 0.7382004569284585, 0.7582001189793962, 12502
78, 36, 0.7549690452916259, 0.7449692187308042, 0.7649688718524476, 12276
79, 37, 0.7483396015043611, 0.7383396066179123, 0.7583395963908098, 12497
78, 37, 0.7464373855584746, 0.7364380060181168, 0.7564367650988324, 12561
80, 41, 0.7538161740824944, 0.7438167841864631, 0.7638155639785256, 12316
82, 38, 0.7439487422876128, 0.7339493655930612, 0.7539481189821643, 12642
78, 36, 0.7494182781031854, 0.7394189367040606, 0.7594176195023102, 12463
78, 37, 0.7448461782429432, 0.7348464496362364, 0.75484590684965, 12612
78, 36, 0.7567744576340565, 0.7467747582083304, 0.7667741570597826, 12215
78, 37, 0.7474457215836526, 0.7374463621068034, 0.7574450810605019, 12528
78, 37, 0.7450809266899397, 0.7350810521804055, 0.755080801199474, 12604
78, 37, 0.7436951537670962, 0.7336953000470995, 0.7536950074870928, 12649
78, 37, 0.7441234665611397, 0.7341235594691929, 0.7541233736530865, 12635
78, 38, 0.740894819466248, 0.7308953381814939, 0.7508943007510022, 12740
78, 36, 0.7511487303506651, 0.741149182255646, 0.7611482784456842, 12405
78, 35, 0.7569205569205569, 0.7469208495019585, 0.7669202643391554, 12210
78, 36, 0.7530384054448226, 0.7430389497386651, 0.76303786115098, 12342
79, 36, 0.7561912545974663, 0.7461916152474819, 0.7661908939474507, 12235
78, 36, 0.7519185717747798, 0.7419189031156506, 0.7619182404339091, 12379
78, 37, 0.7497991967871486, 0.7397997029244433, 0.7597986906498538, 12450
88, 37, 0.7449829459823908, 0.7349829975597268, 0.7549828944050547, 12607
78, 36, 0.751492657737615, 0.7414933002299534, 0.7614920152452765, 12394
# timestamp 21.09.2025 20:16:43 (1758478603), datastructure sac
# timebound 11, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: PROPHETIC, history: MEMORYLESS
# training runs 20000
