training_time, simulation_time, prob, low, high, runs
346, 47, 0.5432406170290295, 0.5332408090889126, 0.5532404249691464, 16466
343, 47, 0.5425015179113539, 0.5325016476225154, 0.5525013882001925, 16470
343, 46, 0.5369090909090909, 0.5269093811906077, 0.5469088006275741, 16500
343, 46, 0.5397634212920838, 0.5297635669477881, 0.5497632756363794, 16485
348, 46, 0.5381677075122779, 0.5281677767093325, 0.5481676383152234, 16493
341, 46, 0.53620553838696, 0.5262057033501858, 0.5462053734237341, 16503
342, 46, 0.542871022589264, 0.532871180641896, 0.552870864536632, 16468
341, 46, 0.5445983716125896, 0.5345985376619236, 0.5545982055632557, 16458
343, 46, 0.5469472147895889, 0.5369474626709598, 0.5569469669082179, 16444
342, 46, 0.5366341433852494, 0.5266343300805303, 0.5466339566899685, 16501
342, 46, 0.5439800753249909, 0.5339803524214995, 0.5539797982284823, 16462
342, 45, 0.5457419001884384, 0.5357420222983214, 0.5557417780785554, 16451
343, 47, 0.5348273773470624, 0.5248276948547338, 0.5448270598393911, 16510
343, 46, 0.5402535946126312, 0.5302539231143922, 0.5502532661108702, 16483
344, 46, 0.5448137570638634, 0.5348140075640382, 0.5548135065636886, 16457
343, 46, 0.538442881397041, 0.5284430715383219, 0.5484426912557601, 16492
341, 46, 0.538442881397041, 0.5284430715383219, 0.5484426912557601, 16492
342, 46, 0.545338519508934, 0.535338812382424, 0.555338226635444, 16454
343, 46, 0.5460182370820669, 0.5360185666856891, 0.5560179074784446, 16450
342, 46, 0.5432406170290295, 0.5332408090889126, 0.5532404249691464, 16466
358, 45, 0.5431468998603267, 0.533147232425989, 0.5531465672946644, 16467
341, 46, 0.5417627777103314, 0.5317628677112051, 0.5517626877094578, 16474
341, 46, 0.543179885825337, 0.5331799721284124, 0.5531797995222617, 16466
342, 46, 0.5375848690591658, 0.5275849595230232, 0.5475847785953084, 16496
344, 45, 0.5421928120446818, 0.5321930221913534, 0.5521926018980102, 16472
# timestamp 08.04.2026 13:23:15 (1775647395), datastructure SAC
# timebound 9, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: SEMIPROPHETIC, history: DISCRETE_HISTORY
# training runs 100000
