training_time, simulation_time, prob, low, high, runs
637, 28, 0.9033482913358647, 0.8933485447311952, 0.9133480379405342, 5794
624, 28, 0.8971428571428571, 0.8871442192078631, 0.9071414950778511, 6125
620, 28, 0.8997661209488808, 0.8897672816224667, 0.9097649602752949, 5986
622, 28, 0.8997661209488808, 0.8897672816224667, 0.9097649602752949, 5986
616, 29, 0.8963671748297113, 0.8863686543735835, 0.9063656952858391, 6166
620, 27, 0.9020812009553053, 0.892081688930904, 0.9120807129797066, 5862
622, 26, 0.903170227429359, 0.8931708855065787, 0.9131695693521393, 5804
616, 27, 0.8997661209488808, 0.8897672816224667, 0.9097649602752949, 5986
613, 26, 0.9046454767726161, 0.894647087430468, 0.9146438661147642, 5726
617, 27, 0.9017173950008502, 0.8917175372453884, 0.9117172527563121, 5881
618, 30, 0.891786383510306, 0.8817865775885959, 0.9017861894320162, 6404
623, 29, 0.896871945259042, 0.8868722664827712, 0.9068716240353129, 6138
622, 29, 0.8980902206124465, 0.8880907644846807, 0.9080896767402122, 6074
622, 28, 0.8989714664897147, 0.8889725206716595, 0.9089704123077699, 6028
616, 28, 0.8979122143679106, 0.887912426618331, 0.9079120021174901, 6083
621, 27, 0.9029927760577915, 0.8929938692370968, 0.9129916828784862, 5814
619, 27, 0.9041739130434783, 0.8941743781595471, 0.9141734479274094, 5750
620, 30, 0.8921246281509316, 0.8821252885598879, 0.9021239677419753, 6387
615, 27, 0.9015447292480054, 0.8915455472752541, 0.9115439112207567, 5891
618, 28, 0.8994171523730224, 0.8894187203328554, 0.9094155844131895, 6005
619, 27, 0.9029042790857535, 0.8929056011189457, 0.9129029570525614, 5819
617, 27, 0.9029042790857535, 0.8929056011189457, 0.9129029570525614, 5819
626, 27, 0.903170227429359, 0.8931708855065787, 0.9131695693521393, 5804
616, 27, 0.9012701100762066, 0.8912703928699373, 0.911269827282476, 5905
623, 29, 0.8947368421052632, 0.8847378329321137, 0.9047358512784126, 6251
# timestamp 08.04.2026 13:25:38 (1775647538), datastructure SAC
# timebound 16, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MAXIMIZING, scope: SEMIPROPHETIC, history: DISCRETE_HISTORY
# training runs 100000
