training_time, simulation_time, prob, low, high, runs
304, 22, 0.16209919005880394, 0.15209923839685108, 0.1720991417207568, 9013
304, 25, 0.17173429388706432, 0.16173438092381484, 0.1817342068503138, 9439
298, 23, 0.17048481619605754, 0.16048519051957877, 0.18048444187253632, 9385
302, 23, 0.1659954283226298, 0.15599562911087347, 0.17599522753438615, 9187
298, 23, 0.16610464483846404, 0.15610547616376572, 0.17610381351316237, 9193
297, 22, 0.16447368421052633, 0.1544742203210238, 0.17447314810002887, 9120
299, 23, 0.1648976912134807, 0.15489829793308246, 0.17489708449387892, 9139
296, 23, 0.16749513723795115, 0.15749569900491736, 0.17749457547098493, 9254
298, 23, 0.16659431300195354, 0.15659477188480128, 0.1765938541191058, 9214
297, 23, 0.16452921188205635, 0.15453003698555848, 0.17452838677855423, 9123
300, 23, 0.16544799738077048, 0.15544835486032427, 0.1754476399012167, 9163
300, 22, 0.16091954022988506, 0.1509201431365562, 0.17091893732321392, 8961
299, 23, 0.16713574366746048, 0.15713623500846075, 0.1771352523264602, 9238
298, 22, 0.1595684908416676, 0.1495684911332837, 0.16956849055005152, 8899
299, 23, 0.16275984077841663, 0.15276066424508564, 0.17275901731174761, 9044
299, 22, 0.1620241926534236, 0.15202499766971383, 0.17202338763713337, 9011
298, 23, 0.1660500544069641, 0.1560505700241391, 0.1760495387897891, 9190
297, 24, 0.17419084529171466, 0.1641916532994099, 0.18419003728401942, 9547
298, 23, 0.16700963933716018, 0.15701044065343886, 0.1770088380208815, 9233
297, 23, 0.1697144690407443, 0.1597146992982465, 0.1797142387832421, 9351
297, 22, 0.1583173131290286, 0.14831767120913514, 0.16831695504892208, 8843
298, 23, 0.16508144746911554, 0.15508196072500022, 0.17508093421323087, 9147
298, 23, 0.16749513723795115, 0.15749569900491736, 0.17749457547098493, 9254
299, 22, 0.16116807846633974, 0.1511685800766977, 0.17116757685598177, 8972
297, 23, 0.17195767195767195, 0.16195843174296068, 0.18195691217238322, 9450
# timestamp 08.04.2026 13:22:58 (1775647378), datastructure SAC
# timebound 8, expirations {"r1": 0, "r2": 0}
# alpha 0.1, gamma 1
# fixed points 5, uniform granularity 0.5
# scheduler goal: MINIMIZING, scope: SEMIPROPHETIC, history: DISCRETE_HISTORY
# training runs 100000
